m1,m2,km
M40,M33,15.3
M33,M41,33.7
M41,M33,33.7
M33,M42,14.8
M42,M33,14.8
M33,M43,17.0
M43,M33,17.0
M33,M44,20.1
M44,M33,20.1
M33,M45,2.4
M45,M33,2.4
M33,M46,10.7
M46,M33,10.7
M33,M47,15.1
M47,M33,15.1
M33,M48,18.4
M48,M33,18.4
M33,M49,34.0
M49,M33,34.0
M33,M50,32.1
M50,M33,32.1
M33,M51,34.0
M51,M33,34.0
M33,M52,34.1
M52,M33,34.1
M33,M53,33.1
M53,M33,33.1
M33,M54,15.9
M54,M33,15.9
M33,M55,17.1
M55,M33,17.1
M33,M56,12.9
M56,M33,12.9
M33,M57,23.6
M57,M33,23.6
M33,M58,3.5
M58,M33,3.5
M33,M59,31.3
M59,M33,31.3
M33,M60,39.6
M60,M33,39.6
M34,M35,34.5
M35,M34,34.5
M34,M36,37.0
M36,M34,37.0
M34,M37,25.0
M37,M34,25.0
M34,M38,30.4
M38,M34,30.4
M34,M39,20.2
M39,M34,20.2
M34,M40,12.4
M40,M34,12.4
M34,M41,35.6
M41,M34,35.6
M34,M42,18.1
M42,M34,18.1
M34,M43,19.4
M43,M34,19.4
M34,M44,21.9
M44,M34,21.9
M34,M45,5.1
M45,M34,5.1
M34,M46,12.9
M46,M34,12.9
M34,M47,19.8
M47,M34,19.8
M34,M48,19.6
M48,M34,19.6
M34,M49,33.1
M49,M34,33.1
M34,M50,35.4
M50,M34,35.4
M34,M51,35.9
M51,M34,35.9
M34,M52,32.8
M52,M34,32.8
M34,M53,32.9
M53,M34,32.9
M34,M54,13.9
M54,M34,13.9
M34,M55,20.0
M55,M34,20.0
M34,M56,17.2
M56,M34,17.2
M34,M57,23.1
M57,M34,23.1
M34,M58,5.4
M58,M34,5.4
M34,M59,34.6
M59,M34,34.6
M34,M60,39.0
M60,M34,39.0
M35,M36,15.5
M36,M35,15.5
M35,M37,26.6
M37,M35,26.6
M35,M38,13.4
M38,M35,13.4
M35,M39,49.8
M39,M35,49.8
M35,M40,46.5
M40,M35,46.5
M35,M41,12.1
M41,M35,12.1
M35,M42,16.5
M42,M35,16.5
M35,M43,15.9
M43,M35,15.9
M35,M44,15.4
M44,M35,15.4
M35,M45,33.2
M45,M35,33.2
M35,M46,21.9
M46,M35,21.9
M35,M47,24.9
M47,M35,24.9
M35,M48,18.6
M48,M35,18.6
M35,M49,63.6
M49,M35,63.6
M35,M50,0.9
M50,M35,0.9
M35,M51,12.1
M51,M35,12.1
M35,M52,64.1
M52,M35,64.1
M35,M53,26.6
M53,M35,26.6
M35,M54,47.1
M54,M35,47.1
M35,M55,14.5
M55,M35,14.5
M35,M56,19.9
M56,M35,19.9
M35,M57,25.3
M57,M35,25.3
M35,M58,34.2
M58,M35,34.2
M35,M59,0.1
M59,M35,0.1
M35,M60,68.3
M60,M35,68.3
M36,M37,17.9
M37,M36,17.9
M36,M38,6.7
M38,M36,6.7
M36,M39,46.3
M39,M36,46.3
M36,M40,49.3
M40,M36,49.3
M36,M41,3.4
M41,M36,3.4
M36,M42,22.8
M42,M36,22.8
M36,M43,18.8
M43,M36,18.8
M36,M44,15.4
M44,M36,15.4
M36,M45,37.8
M45,M36,37.8
M36,M46,24.7
M46,M36,24.7
M36,M47,35.5
M47,M36,35.5
M36,M48,17.3
M48,M36,17.3
M36,M49,69.5
M49,M36,69.5
M36,M50,15.7
M50,M36,15.7
M36,M51,3.4
M51,M36,3.4
M36,M52,69.5
M52,M36,69.5
M36,M53,13.8
M53,M36,13.8
M36,M54,50.8
M54,M36,50.8
M36,M55,19.9
M55,M36,19.9
M36,M56,28.6
M56,M36,28.6
M36,M57,17.9
M57,M36,17.9
M36,M58,38.9
M58,M36,38.9
M36,M59,15.4
M59,M36,15.4
M36,M60,75.0
M60,M36,75.0
M37,M38,14.0
M38,M37,14.0
M37,M39,29.0
M39,M37,29.0
M37,M40,36.1
M40,M37,36.1
M37,M41,18.8
M41,M37,18.8
M37,M42,20.4
M42,M37,20.4
M37,M43,15.8
M43,M37,15.8
M37,M44,13.0
M44,M37,13.0
M37,M45,27.9
M45,M37,27.9
M37,M46,17.3
M46,M37,17.3
M37,M47,33.3
M47,M37,33.3
M37,M48,11.1
M48,M37,11.1
M37,M49,57.9
M49,M37,57.9
M37,M50,27.3
M50,M37,27.3
M37,M51,19.1
M51,M37,19.1
M37,M52,57.3
M52,M37,57.3
M37,M53,8.1
M53,M37,8.1
M37,M54,38.3
M54,M37,38.3
M37,M55,18.7
M55,M37,18.7
M37,M56,26.0
M56,M37,26.0
M37,M57,2.2
M57,M37,2.2
M37,M58,28.9
M58,M37,28.9
M37,M59,26.6
M59,M37,26.6
M37,M60,63.9
M60,M37,63.9
M38,M39,40.9
M39,M38,40.9
M38,M40,42.8
M40,M38,42.8
M38,M41,5.5
M41,M38,5.5
M38,M42,16.3
M42,M38,16.3
M38,M43,12.2
M43,M38,12.2
M38,M44,8.7
M44,M38,8.7
M38,M45,31.1
M45,M38,31.1
M38,M46,18.1
M46,M38,18.1
M38,M47,29.4
M47,M38,29.4
M38,M48,10.8
M48,M38,10.8
M38,M49,62.8
M49,M38,62.8
M38,M50,14.0
M50,M38,14.0
M38,M51,5.8
M51,M38,5.8
M38,M52,62.8
M52,M38,62.8
M38,M53,13.2
M53,M38,13.2
M38,M54,44.2
M54,M38,44.2
M38,M55,13.5
M55,M38,13.5
M38,M56,22.3
M56,M38,22.3
M38,M57,13.3
M57,M38,13.3
M38,M58,32.2
M58,M38,32.2
M38,M59,13.4
M59,M38,13.4
M38,M60,68.3
M60,M38,68.3
M39,M40,19.5
M40,M39,19.5
M39,M41,46.3
M41,M39,46.3
M39,M42,35.1
M42,M39,35.1
M39,M43,34.0
M43,M39,34.0
M39,M44,34.6
M44,M39,34.6
M39,M45,25.2
M45,M39,25.2
M39,M46,28.8
M46,M39,28.8
M39,M47,40.0
M47,M39,40.0
M39,M48,31.4
M48,M39,31.4
M39,M49,39.1
M49,M39,39.1
M39,M50,50.6
M50,M39,50.6
M39,M51,46.6
M51,M39,46.6
M39,M52,37.5
M52,M39,37.5
M39,M53,36.2
M53,M39,36.2
M39,M54,22.7
M54,M39,22.7
M39,M55,35.9
M55,M39,35.9
M39,M56,36.4
M56,M39,36.4
M39,M57,28.5
M57,M39,28.5
M39,M58,25.1
M58,M39,25.1
M39,M59,49.8
M59,M39,49.8
M39,M60,45.4
M60,M39,45.4
M40,M41,48.0
M41,M40,48.0
M40,M42,30.0
M42,M40,30.0
M40,M43,31.7
M43,M40,31.7
M40,M44,34.3
M44,M40,34.3
M40,M45,13.6
M45,M40,13.6
M40,M46,25.3
M46,M40,25.3
M40,M47,27.8
M47,M40,27.8
M40,M48,32.0
M48,M40,32.0
M40,M49,22.1
M49,M40,22.1
M40,M50,47.4
M50,M40,47.4
M40,M51,48.3
M51,M40,48.3
M40,M52,21.3
M52,M40,21.3
M40,M53,44.2
M53,M40,44.2
M40,M54,3.2
M54,M40,3.2
M40,M55,32.2
M55,M40,32.2
M40,M56,27.8
M56,M40,27.8
M40,M57,34.5
M57,M40,34.5
M40,M58,12.7
M58,M40,12.7
M40,M59,46.6
M59,M40,46.6
M40,M60,28.4
M60,M40,28.4
M41,M42,20.4
M42,M41,20.4
M41,M43,16.8
M43,M41,16.8
M41,M44,13.7
M44,M41,13.7
M41,M45,36.0
M45,M41,36.0
M41,M46,23.0
M46,M41,23.0
M41,M47,32.7
M47,M41,32.7
M41,M48,16.1
M48,M41,16.1
M41,M49,67.7
M49,M41,67.7
M41,M50,12.4
M50,M41,12.4
M41,M51,0.3
M51,M41,0.3
M41,M52,67.8
M52,M41,67.8
M41,M53,16.0
M53,M41,16.0
M41,M54,49.3
M54,M41,49.3
M41,M55,17.6
M55,M41,17.6
M41,M56,25.9
M56,M41,25.9
M41,M57,18.4
M57,M41,18.4
M41,M58,37.2
M58,M41,37.2
M41,M59,12.1
M59,M41,12.1
M41,M60,73.1
M60,M41,73.1
M42,M43,4.9
M43,M42,4.9
M42,M44,8.6
M44,M42,8.6
M42,M45,16.7
M45,M42,16.7
M42,M46,6.3
M46,M42,6.3
M42,M47,13.5
M47,M42,13.5
M42,M48,9.4
M48,M42,9.4
M42,M49,47.9
M49,M42,47.9
M42,M50,17.3
M50,M42,17.3
M42,M51,20.6
M51,M42,20.6
M42,M52,48.2
M52,M42,48.2
M42,M53,25.4
M53,M42,25.4
M42,M54,30.6
M54,M42,30.6
M42,M55,2.8
M55,M42,2.8
M42,M56,6.1
M56,M42,6.1
M42,M57,18.3
M57,M42,18.3
M42,M58,17.8
M58,M42,17.8
M42,M59,16.6
M59,M42,16.6
M42,M60,53.0
M60,M42,53.0
M43,M44,3.8
M44,M43,3.8
M43,M45,19.2
M45,M43,19.2
M43,M46,6.5
M46,M43,6.5
M43,M47,18.4
M47,M43,18.4
M43,M48,4.8
M48,M43,4.8
M43,M49,50.9
M49,M43,50.9
M43,M50,16.8
M50,M43,16.8
M43,M51,17.1
M51,M43,17.1
M43,M52,51.0
M52,M43,51.0
M43,M53,20.5
M53,M43,20.5
M43,M54,32.8
M54,M43,32.8
M43,M55,2.9
M55,M43,2.9
M43,M56,11.0
M56,M43,11.0
M43,M57,13.7
M57,M43,13.7
M43,M58,20.4
M58,M43,20.4
M43,M59,16.0
M59,M43,16.0
M43,M60,56.3
M60,M43,56.3
M44,M45,22.4
M45,M44,22.4
M44,M46,9.4
M46,M44,9.4
M44,M47,22.1
M47,M44,22.1
M44,M48,3.2
M48,M44,3.2
M44,M49,54.1
M49,M44,54.1
M44,M50,16.2
M50,M44,16.2
M44,M51,14.0
M51,M44,14.0
M44,M52,54.1
M52,M44,54.1
M44,M53,17.0
M53,M44,17.0
M44,M54,35.6
M54,M44,35.6
M44,M55,6.1
M55,M44,6.1
M44,M56,14.7
M56,M44,14.7
M44,M57,11.1
M57,M44,11.1
M44,M58,23.5
M58,M44,23.5
M44,M59,15.5
M59,M44,15.5
M44,M60,59.6
M60,M44,59.6
M45,M46,13.0
M46,M45,13.0
M45,M47,15.3
M47,M45,15.3
M45,M48,20.7
M48,M45,20.7
M45,M49,31.7
M49,M45,31.7
M45,M50,34.0
M50,M45,34.0
M45,M51,36.3
M51,M45,36.3
M45,M52,31.8
M52,M45,31.8
M45,M53,35.5
M53,M45,35.5
M45,M54,13.9
M54,M45,13.9
M45,M55,19.2
M55,M45,19.2
M45,M56,14.2
M56,M45,14.2
M45,M57,25.9
M57,M45,25.9
M45,M58,1.2
M58,M45,1.2
M45,M59,33.2
M59,M45,33.2
M45,M60,37.2
M60,M45,37.2
M46,M47,16.3
M47,M46,16.3
M46,M48,7.9
M48,M46,7.9
M46,M49,44.7
M49,M46,44.7
M46,M50,22.8
M50,M46,22.8
M46,M51,23.3
M51,M46,23.3
M46,M52,44.8
M52,M46,44.8
M46,M53,23.8
M53,M46,23.8
M46,M54,26.4
M54,M46,26.4
M46,M55,7.4
M55,M46,7.4
M46,M56,9.5
M56,M46,9.5
M46,M57,15.1
M57,M46,15.1
M46,M58,14.2
M58,M46,14.2
M46,M59,22.0
M59,M46,22.0
M46,M60,50.3
M60,M46,50.3
M47,M48,22.6
M48,M47,22.6
M47,M49,40.0
M49,M47,40.0
M47,M50,25.6
M50,M47,25.6
M47,M51,32.9
M51,M47,32.9
M47,M52,41.0
M52,M47,41.0
M47,M53,38.9
M53,M47,38.9
M47,M54,27.0
M54,M47,27.0
M47,M55,16.1
M55,M47,16.1
M47,M56,7.4
M56,M47,7.4
M47,M57,31.1
M57,M47,31.1
M47,M58,15.8
M58,M47,15.8
M47,M59,25.0
M59,M47,25.0
M47,M60,44.1
M60,M47,44.1
M48,M49,52.3
M49,M48,52.3
M48,M50,19.4
M50,M48,19.4
M48,M51,16.4
M51,M48,16.4
M48,M52,52.2
M52,M48,52.2
M48,M53,16.3
M53,M48,16.3
M48,M54,33.5
M54,M48,33.5
M48,M55,7.7
M55,M48,7.7
M48,M56,15.2
M56,M48,15.2
M48,M57,8.9
M57,M48,8.9
M48,M58,21.9
M58,M48,21.9
M48,M59,18.7
M59,M48,18.7
M48,M60,58.0
M60,M48,58.0
M49,M50,64.4
M50,M49,64.4
M49,M51,68.0
M51,M49,68.0
M49,M52,2.5
M52,M49,2.5
M49,M53,65.9
M53,M49,65.9
M49,M54,19.6
M54,M49,19.6
M49,M55,50.5
M55,M49,50.5
M49,M56,43.7
M56,M49,43.7
M49,M57,56.1
M57,M49,56.1
M49,M58,30.6
M58,M49,30.6
M49,M59,63.7
M59,M49,63.7
M49,M60,6.4
M60,M49,6.4
M50,M51,12.3
M51,M50,12.3
M50,M52,64.9
M52,M50,64.9
M50,M53,27.1
M53,M50,27.1
M50,M54,47.9
M54,M50,47.9
M50,M55,15.4
M55,M50,15.4
M50,M56,20.7
M56,M50,20.7
M50,M57,26.0
M57,M50,26.0
M50,M58,35.1
M58,M50,35.1
M50,M59,0.8
M59,M50,0.8
M50,M60,69.1
M60,M50,69.1
M51,M52,68.1
M52,M51,68.1
M51,M53,16.2
M53,M51,16.2
M51,M54,49.6
M54,M51,49.6
M51,M55,17.8
M55,M51,17.8
M51,M56,26.2
M56,M51,26.2
M51,M57,18.7
M57,M51,18.7
M51,M58,37.4
M58,M51,37.4
M51,M59,12.1
M59,M51,12.1
M51,M60,73.3
M60,M51,73.3
M52,M53,65.4
M53,M52,65.4
M52,M54,19.0
M54,M52,19.0
M52,M55,50.8
M55,M52,50.8
M52,M56,44.2
M56,M52,44.2
M52,M57,55.7
M57,M52,55.7
M52,M58,30.6
M58,M52,30.6
M52,M59,64.2
M59,M52,64.2
M52,M60,8.0
M60,M52,8.0
M53,M54,46.3
M54,M53,46.3
M53,M55,23.1
M55,M53,23.1
M53,M56,31.5
M56,M53,31.5
M53,M57,9.7
M57,M53,9.7
M53,M58,36.5
M58,M53,36.5
M53,M59,26.6
M59,M53,26.6
M53,M60,71.9
M60,M53,71.9
M54,M55,33.0
M55,M54,33.0
M54,M56,27.9
M56,M54,27.9
M54,M57,36.6
M57,M54,36.6
M54,M58,12.9
M58,M54,12.9
M54,M59,47.2
M59,M54,47.2
M54,M60,25.8
M60,M54,25.8
M55,M56,8.8
M56,M55,8.8
M55,M57,16.6
M57,M55,16.6
M55,M58,20.3
M58,M55,20.3
M55,M59,14.6
M59,M55,14.6
M55,M60,55.7
M60,M55,55.7
M56,M57,23.8
M57,M56,23.8
M56,M58,15.2
M58,M56,15.2
M56,M59,20.0
M59,M56,20.0
M56,M60,48.4
M60,M56,48.4
M57,M58,26.9
M58,M57,26.9
M57,M59,25.3
M59,M57,25.3
M57,M60,62.1
M60,M57,62.1
M58,M59,34.3
M59,M58,34.3
M58,M60,36.1
M60,M58,36.1
M59,M60,68.4
M60,M59,68.4
